language: Español
"Alt+F, Alt+A, Alt+H, and Alt+L open the File, Audio, Help, and Language menus." "Alt+F, Alt+A, Alt+H y Alt+L abren los menús Archivo, Audio, Ayuda e Idioma."
"Alt+I and Alt+O open the input and output device lists; Alt+S starts or stops the session." "Alt+I y Alt+O abren las listas de dispositivos de entrada y salida; Alt+S inicia o detiene la sesión."
"Ctrl+N clears the chain, Ctrl+S saves a preset, Ctrl+O loads one, and Ctrl+E opens the effect browser." "Ctrl+N limpia la cadena, Ctrl+S guarda un preset, Ctrl+O carga uno y Ctrl+E abre el explorador de efectos."
"Real-time multi-effects processor for electric guitar." "Procesador de efectos en tiempo real para guitarra eléctrica."
"Final Degree Project (TFG) - Software Engineering." "Trabajo de Fin de Grado (TFG) - Ingeniería del Software."
"Made by Saul Martin." "Realizado por Saul Martin."
"Set value..." "Introducir valor..."
"Reset to default" "Restaurar valor por defecto"
"Copy value" "Copiar valor"

"Cannot start session" "No se puede iniciar la sesión"
"No input device selected. Please select an audio input device." "No hay ningún dispositivo de entrada seleccionado. Por favor, selecciona uno antes de continuar."
"No output device selected. Please select an audio output device." "No hay ningún dispositivo de salida seleccionado. Por favor, selecciona uno antes de continuar."
"Failed to save preset." "No se pudo guardar el preset."
"Failed to load preset." "No se pudo cargar el preset."
"Failed to load preset: the file is missing or corrupted." "No se pudo cargar el preset: el archivo no existe o está dañado."
"Effect chain full" "Cadena de efectos llena"
"The effect chain is full (8 effects maximum). Remove an effect before adding a new one." "La cadena de efectos está llena (máximo 8 efectos). Elimina algún efecto antes de añadir uno nuevo."
"Stop the audio session before clearing the chain." "Detén la sesión de audio antes de limpiar la cadena."
"Stop the audio session before saving a preset." "Detén la sesión de audio antes de guardar un preset."
"Add at least one effect before saving a preset." "Añade al menos un efecto antes de guardar un preset."
"Stop the audio session before loading a preset." "Detén la sesión de audio antes de cargar un preset."
"Stop the audio session before adding effects to the chain." "Detén la sesión de audio antes de añadir efectos a la cadena."
"Stop the audio session before modifying the effect chain." "Detén la sesión de audio antes de modificar la cadena de efectos."
"Preset loaded with warnings" "Preset cargado con advertencias"
"The following effects were not recognized and could not be loaded:" "Los siguientes efectos no se reconocieron y no se pudieron cargar:"
"You can keep the effects that were loaded, or clear the chain entirely." "Puedes conservar los efectos que sí se cargaron o limpiar la cadena por completo."
"Keep loaded" "Conservar cargados"
"Clear chain" "Limpiar cadena"

"Nonlinear" "No lineal"
"Filtering" "Filtrado"
"Time-Based" "Basado en tiempo"

"Select the audio input device (e.g. your USB audio interface)." "Selecciona el dispositivo de entrada de audio (p. ej. tu interfaz de audio USB)."
"Select the audio output device for the processed signal." "Selecciona el dispositivo de salida para la señal procesada."
"Start or stop the real-time audio processing session." "Inicia o detiene la sesión de procesamiento de audio."
"Adjusts the overall output level sent to the audio device." "Ajusta el volumen de salida general."
"Shows the input signal level from the selected audio device." "Muestra el nivel de señal de entrada."
"Shows the output signal level after all effects and master volume." "Muestra el nivel de señal de salida tras los efectos y el volumen maestro."
"Open or close the effect browser to add new effects to the chain." "Abre o cierra el explorador de efectos para añadir nuevos efectos a la cadena."
"Click to enable or bypass this effect." "Haz clic para activar o desactivar este efecto."

"How hard the signal is pushed into saturation." "Controla cuánto se empuja la señal hacia la saturación."
"How hard the signal is pushed into the hard clipper." "Controla la intensidad del clipping."
"Intensity of the fuzz effect." "Intensidad del fuzz."
"Output volume of the effect." "Volumen de salida del efecto."
"Adjusts the brightness of the tone." "Ajusta el brillo del tono."
"Adjusts the brightness of the distorted tone." "Ajusta el brillo del tono distorsionado."
"Center frequency of this EQ band." "Frecuencia central de esta banda del EQ."
"Boosts or cuts the level at this frequency." "Aumenta o reduce el nivel en esa frecuencia."
"Bandwidth: higher values affect a narrower frequency range." "Ancho de banda: valores más altos afectan un rango de frecuencias más estrecho."
"Frequencies below this point are removed." "Elimina las frecuencias por debajo de este punto."
"Frequencies above this point are removed." "Elimina las frecuencias por encima de este punto."
"Steepness of the filter: higher = sharper rolloff." "Pendiente del filtro: valores más altos dan un corte más pronunciado."
"Time between the original signal and its echo, in milliseconds." "Tiempo entre la señal original y el eco, en milisegundos."
"How many times the echo repeats before fading." "Número de repeticiones del eco antes de que se desvanezca."
"Balance between the original (dry) and delayed (wet) signal." "Mix entre la señal original (dry) y la señal con delay (wet)."
"Size of the simulated room: larger = longer reverb tail." "Tamaño de la sala simulada: valores más altos generan una cola de reverb más larga."
"High-frequency absorption: higher = darker, shorter decay." "Absorción de altas frecuencias: valores más altos dan un reverb más oscuro y corto."
"Stereo spread of the reverb effect." "Amplitud del campo estéreo del reverb."
"Balance between the original (dry) and reverb (wet) signal." "Mix entre la señal original (dry) y la señal con reverb (wet)."

"Valve-style soft saturation. Adds warm harmonic distortion and increased sustain." "Saturación suave estilo válvula. Añade distorsión armónica cálida y más sustain."
"Hard digital clipping for aggressive distortion. Produces a sharp, heavily saturated sound." "Hard clipping digital para una distorsión agresiva. Produce un sonido crudo y muy saturado."
"Classic fuzz circuit emulation. Creates a thick, sustaining and harmonically rich tone." "Emulación de circuito fuzz clásico. Crea un tono denso, con mucho sustain y rico en armónicos."
"Three-band parametric equaliser. Shape tone by adjusting frequency, gain and bandwidth (Q) per band." "Ecualizador paramétrico de tres bandas. Ajusta la frecuencia, la ganancia y el ancho de banda (Q) de cada banda."
"Passes frequencies above the cutoff, removing low-end rumble or bass build-up." "Deja pasar las frecuencias por encima del corte. Elimina el exceso de graves o zumbidos de baja frecuencia."
"Passes frequencies below the cutoff, removing harshness or high-frequency content." "Deja pasar las frecuencias por debajo del corte. Elimina la dureza o el exceso de altas frecuencias."
"Echo effect with adjustable time, feedback and mix. Creates rhythmic repetitions of the signal." "Efecto de delay con tiempo, feedback y mix ajustables. Crea repeticiones rítmicas de la señal."
"Simulates room reverberation. Controls room size, damping, stereo width and wet/dry mix." "Simula la reverberación de una sala. Controla el tamaño, el damping, la amplitud estéreo y el mix wet/dry."
